model,WAPE,RMSSE,WRMSSE,Bias,cutoff
SeasonalNaive,0.7681031227111816,1.0130640268325806,1.106687068939209,0.031420979648828506,2016-03-27
MovingAvg28,0.6447850465774536,0.7918844819068909,0.9004606008529663,-0.021259965375065804,2016-03-27
AutoETS,0.6514684557914734,0.7824144959449768,0.8839054107666016,0.038917310535907745,2016-03-27
Croston,0.6986339688301086,0.8255855441093445,0.9125047922134399,0.07373210787773132,2016-03-27
IMAPA,0.6664319038391113,0.7929508090019226,0.9229183197021484,0.0681682899594307,2016-03-27
LightGBM,0.617313732751199,0.7804902717997475,0.8338882405993017,-0.026227703395319744,2016-03-27
Ensemble,0.6112652395260904,0.7657711861207115,0.821136943889432,0.006344804237035792,2016-03-27
SeasonalNaive,0.7328298687934875,1.0224392414093018,1.0585346221923828,-0.02678201161324978,2016-04-24
MovingAvg28,0.6301573514938354,0.7993492484092712,0.8722220659255981,-0.01521909236907959,2016-04-24
AutoETS,0.6120781898498535,0.7891751527786255,0.8362436890602112,-0.032066330313682556,2016-04-24
Croston,0.6631014943122864,0.8138206005096436,0.8676278591156006,0.043819360435009,2016-04-24
IMAPA,0.6242332458496094,0.7975197434425354,0.8733352422714233,0.013607082888484001,2016-04-24
LightGBM,0.6073664405028504,0.7878394038684996,0.8369808565283352,-0.0693076375182348,2016-04-24
Ensemble,0.592038442406344,0.7749557001647257,0.8082656660604228,-0.050686985107814636,2016-04-24
SeasonalNaive,0.8173052668571472,1.088140845298767,1.2134901285171509,-0.00889701209962368,2016-05-22
MovingAvg28,0.698972761631012,0.8394002914428711,0.9963535070419312,-0.02640376426279545,2016-05-22
AutoETS,0.6986671686172485,0.8423033952713013,0.9933579564094543,-0.004795359447598457,2016-05-22
Croston,0.710978627204895,0.8473547101020813,1.0046542882919312,0.04189831018447876,2016-05-22
IMAPA,0.7069258689880371,0.8461667895317078,1.0132719278335571,0.03387776017189026,2016-05-22
LightGBM,0.7018051842460612,0.8367818713837989,1.0188975589060105,-0.04785838980478972,2016-05-22
Ensemble,0.6789846981802191,0.8254354827473049,0.9739989862255234,-0.026326876178491148,2016-05-22
